year,hindi_cinema_cr,all_india_cr,hindi_share_pct,biggest_hindi_film,film_worldwide_gross_cr,note
2019,4800,10948,44,War,475,Hindi value derived from Ormax language share
2020,450,2056,22,Tanhaji,368,Hindi value estimated within sourced all-India total
2021,800,3700,22,Sooryavanshi,294,Hindi value estimated within sourced all-India total
2022,3510,10637,33,Brahmastra,431,Hindi value derived from Ormax language share
2023,5380,12226,44,Jawan,1160,Sourced
2024,4679,11833,40,Stree 2,874,Sourced
2025,5504,13395,41,Chhaava,808,Sourced
